"","Start.station","End.station","count"
"9068","100 Main Street SE","Groveland Ave & Clifton Place",6
"9069","10th Street & Nicollet Mall","22nd Ave S & Franklin Ave",6
"9070","10th Street & Nicollet Mall","5th Street NE & 3rd Ave NE",6
"9071","10th Street & Nicollet Mall","Bohemian Flats",6
"9072","10th Street & Nicollet Mall","Coldwater Spring",6
"9073","10th Street & Nicollet Mall","YWCA Uptown",6
"9074","11th Ave S & S 2nd Street","28th Street & Nicollet Ave. S",6
"9075","11th Ave S & S 2nd Street","Curfew Street & Ellis Ave.",6
"9076","11th Ave S & S 2nd Street","Lake Street & Humboldt",6
"9077","11th Ave S & S 2nd Street","University Ave SE & Bedford Street SE",6
"9078","11th Street & Hennepin","22nd Ave S & Franklin Ave",6
"9079","11th Street & Hennepin","Currie Park",6
"9080","11th Street & Hennepin","Malcolm Ave SE & 5th Street SE",6
"9081","11th Street & Hennepin","Marshall Street NE & Lowry Ave",6
"9082","11th Street & Hennepin","McNamara Center",6
"9083","11th Street & Hennepin","Midtown Greenway & 5th Ave S",6
"9084","11th Street & Marquette","Broadway & Marshall Street NE",6
"9085","11th Street & Marquette","Elliot Ave S & E 24th Street",6
"9086","11th Street & Marquette","Lake Calhoun Center",6
"9087","11th Street & Marquette","West 36th Street & Bryant Ave S",6
"9088","15th Ave SE & 4th Street SE","11th Street & Marquette",6
"9089","15th Ave SE & 4th Street SE","Broadway & Marshall Street NE",6
"9090","15th Ave SE & 4th Street SE","Carleton Street & University Ave ",6
"9091","15th Ave SE & 4th Street SE","Hennepin & Laurel Ave",6
"9092","15th Ave SE & 4th Street SE","Loring Park",6
"9093","15th Ave SE & 4th Street SE","Midtown Greenway & 5th Ave S",6
"9094","15th Ave SE & 4th Street SE","Minnehaha Park",6
"9095","15th Ave SE & 4th Street SE","North 2nd Street & 4th Ave N",6
"9096","15th Ave SE & 4th Street SE","S 8th Street & 2nd Ave S",6
"9097","15th Ave SE & 4th Street SE","W 50th Street & W Minnehaha Pkwy",6
"9098","15th Ave SE & Como Ave SE","2nd Street SE & 5th Ave SE",6
"9099","15th Ave SE & Como Ave SE","Mill City Quarter",6
"9100","15th Ave SE & Como Ave SE","Nicollet Island",6
"9101","15th Ave SE & Como Ave SE","Target Field Station",6
"9102","15th Ave SE & Como Ave SE","University Ave SE & Bedford Street SE",6
"9103","18th Ave Trail & 2nd Street NE","2nd Ave N & Washington Ave N",6
"9104","18th Ave Trail & 2nd Street NE","Malcolm Ave SE & 5th Street SE",6
"9105","18th Ave Trail & 2nd Street NE","North Mississippi Regional Park",6
"9106","18th Ave Trail & 2nd Street NE","S 5th Street & Nicollet Mall",6
"9107","22nd Ave NE & California Street NE","Hennepin & Central Avenue NE",6
"9108","22nd Ave NE & California Street NE","Lyndale Ave S & W 29th Street",6
"9109","22nd Ave NE & California Street NE","North Mississippi Regional Park",6
"9110","22nd Ave S & Franklin Ave","7th Street & 4th Ave S",6
"9111","22nd Ave S & Franklin Ave","E 38th Street & 42nd Ave S",6
"9112","22nd Ave S & Franklin Ave","Minneapolis Farmers Market",6
"9113","22nd Ave S & Franklin Ave","Wilder Street & Marshall Ave",6
"9114","23rd Ave SE & 6th Street SE","Curfew Street & Ellis Ave.",6
"9115","23rd Ave SE & 6th Street SE","S 5th Street & Nicollet Mall",6
"9116","23rd Ave SE & 6th Street SE","Washington Ave S & 10th Ave S",6
"9117","23rd Ave SE & University Ave SE","Broadway & Marshall Street NE",6
"9118","23rd Ave SE & University Ave SE","Hamline Ave N & University Ave",6
"9119","23rd Ave SE & University Ave SE","Hennepin Ave & S Washington Ave",6
"9120","23rd Ave SE & University Ave SE","Park Ave & 4th Street S",6
"9121","23rd Ave SE & University Ave SE","University of St. Thomas",6
"9122","25th Street & 33rd Ave S","15th Ave SE & Como Ave SE",6
"9123","25th Street & 33rd Ave S","2nd Street N & 8th Ave N",6
"9124","25th Street & 33rd Ave S","4th Street & 17th Ave SE",6
"9125","25th Street & 33rd Ave S","7th Street & 4th Ave S",6
"9126","25th Street & 33rd Ave S","E Franklin Ave & Bloomington Ave S",6
"9127","25th Street & 33rd Ave S","Grand Ave & Fairview Ave",6
"9128","25th Street & 33rd Ave S","Hennepin & Central Avenue NE",6
"9129","25th Street & 33rd Ave S","Park Ave & 4th Street S",6
"9130","25th Street & 33rd Ave S","Science Museum of Minnesota",6
"9131","26th Street & Hennepin","5th Ave N & 4th Street N",6
"9132","26th Street & Hennepin","Chicago Ave & S Washington Ave",6
"9133","26th Street & Hennepin","Hennepin Ave & S Washington Ave",6
"9134","26th Street & Hennepin","Lake Nokomis",6
"9135","26th Street & Hennepin","Sanford Hall",6
"9136","26th Street & Hennepin","University & Bank Street SE",6
"9137","26th Street & Lyndale","2nd Street SE & 5th Ave SE",6
"9138","26th Street & Lyndale","Lake Nokomis",6
"9139","26th Street & Lyndale","Lake Street & West River Parkway",6
"9140","26th Street & Lyndale","University & Bank Street SE",6
"9141","26th Street & Lyndale","Upton Ave S & Sheridan Ave S",6
"9142","27th Ave S & Minnehaha Ave","26th Street & Lyndale",6
"9143","27th Ave S & Minnehaha Ave","Mill City Quarter",6
"9144","27th Ave S & Minnehaha Ave","Nice Ride World Headquarters",6
"9145","27th Ave S & Minnehaha Ave","Oak Street Ramp",6
"9146","27th Ave S & Minnehaha Ave","University of St. Thomas",6
"9147","27th Ave S & Minnehaha Ave","Washington & Cedar",6
"9148","27th Ave S & Minnehaha Ave","Weisman Art Museum",6
"9149","27th Ave SE & University Ave","Bohemian Flats",6
"9150","27th Ave SE & University Ave","Hennepin Ave & S Washington Ave",6
"9151","28th Street & Nicollet Ave. S","Franklin & 11th Ave",6
"9152","28th Street & Nicollet Ave. S","Groveland Ave & Clifton Place",6
"9153","28th Street & Nicollet Ave. S","Loring Park",6
"9154","2nd Ave N & N 6th Street","3rd Street NE & Lowry Ave NE",6
"9155","2nd Ave N & N 6th Street","Boom Island Park",6
"9156","2nd Ave N & N 6th Street","Central Ave NE & 22nd Ave NE",6
"9157","2nd Ave N & N 6th Street","Cleveland Ave S & Highland Parkway",6
"9158","2nd Ave N & N 6th Street","MCAD",6
"9159","2nd Ave N & N 6th Street","McNamara Center",6
"9160","2nd Ave N & N 6th Street","Pleasant Ave S &  Lake Street",6
"9161","2nd Ave N & N 6th Street","Plymouth Ave N &  N Oliver Ave",6
"9162","2nd Ave N & N 6th Street","West 34th Street  & Hennepin Ave S",6
"9163","2nd Ave N & N 6th Street","West 36th Street & Bryant Ave S",6
"9164","2nd Ave N & Washington Ave N","Franklin & Portland",6
"9165","2nd Ave N & Washington Ave N","Minnehaha Park",6
"9166","2nd Ave N & Washington Ave N","Riverside Ave & 23rd Ave S",6
"9167","2nd Ave N & Washington Ave N","Washington Ave SE & Union Street SE",6
"9168","2nd Ave S & S 3rd Street","23rd Ave SE & 6th Street SE",6
"9169","2nd Ave S & S 3rd Street","25th Street & 33rd Ave S",6
"9170","2nd Ave S & S 3rd Street","Lake Street & Knox Ave S",6
"9171","2nd Ave S & S 3rd Street","W 36th Street & W Calhoun Parkway",6
"9172","2nd Ave S & S 3rd Street","Weisman Art Museum",6
"9173","2nd Ave S & S 3rd Street","YWCA Uptown",6
"9174","2nd Street N & 8th Ave N","Elliot Park",6
"9175","2nd Street N & 8th Ave N","Mariucci Arena",6
"9176","2nd Street N & 8th Ave N","Washington Ave S & 10th Ave S",6
"9177","2nd Street N & 8th Ave N","Willey Hall",6
"9178","2nd Street SE & 5th Ave SE","15th Ave SE & Como Ave SE",6
"9179","2nd Street SE & 5th Ave SE","Lake Street & Humboldt",6
"9180","2nd Street SE & 5th Ave SE","Lake Street & Knox Ave S",6
"9181","2nd Street SE & 5th Ave SE","Lake Street & West River Parkway",6
"9182","2nd Street SE & 5th Ave SE","Loring Park",6
"9183","2nd Street SE & 5th Ave SE","Marshall Street NE & Lowry Ave",6
"9184","38th Street Light Rail Station","25th Street & 33rd Ave S",6
"9185","38th Street Light Rail Station","Cleveland Ave S & Highland Parkway",6
"9186","38th Street Light Rail Station","Nice Ride World Headquarters",6
"9187","3rd Ave S & E 38th Street","Hennepin County Government Center",6
"9188","3rd Ave S & E 38th Street","Lyndale Ave S & 22nd Street ",6
"9189","3rd Ave S & E 38th Street","Minnehaha Park",6
"9190","3rd Ave S & E 38th Street","Nicollet Mall & Grant Street",6
"9191","3rd Ave S & E 38th Street","W 50th Street & W Minnehaha Pkwy",6
"9192","3rd Street N & 8th Ave N","Nicollet Mall & Grant Street",6
"9193","3rd Street NE & Lowry Ave NE","Chicago Ave & S Washington Ave",6
"9194","46th Street Light Rail Station","Grand Ave & Fairview Ave",6
"9195","46th Street Light Rail Station","Lyndale Ave S & 22nd Street ",6
"9196","4th Street & 13th Ave SE","18th Ave Trail & 2nd Street NE",6
"9197","4th Street & 13th Ave SE","2nd Street N & 8th Ave N",6
"9198","4th Street & 13th Ave SE","Franklin & 11th Ave",6
"9199","4th Street & 13th Ave SE","Target Field Station",6
"9200","4th Street & 13th Ave SE","Walker Art Center",6
"9201","4th Street & 13th Ave SE","Washington Ave N & Cedar Lake Trail",6
"9202","4th Street & 13th Ave SE","West 15th Street & Willow",6
"9203","4th Street & 13th Ave SE","YWCA Downtown",6
"9204","4th Street & 17th Ave SE","2nd Ave N & Washington Ave N",6
"9205","4th Street & 17th Ave SE","7th Street & 4th Ave S",6
"9206","4th Street & 17th Ave SE","Broadway & Marshall Street NE",6
"9207","4th Street & 17th Ave SE","Curfew Street & Ellis Ave.",6
"9208","4th Street & 17th Ave SE","Currie Park",6
"9209","4th Street & 17th Ave SE","Franklin & 28th Ave",6
"9210","4th Street & 17th Ave SE","Gateway Park",6
"9211","4th Street & 17th Ave SE","YWCA Downtown",6
"9212","4th Street S & 19th Ave","23rd Ave SE & 6th Street SE",6
"9213","4th Street S & 19th Ave","7th Street & 4th Ave S",6
"9214","4th Street S & 19th Ave","Dupont Ave S & W 29th Street",6
"9215","4th Street S & 19th Ave","Hennepin & Central Avenue NE",6
"9216","4th Street S & 19th Ave","Nicollet Ave & W 37th Street",6
"9217","4th Street S & 19th Ave","Nicollet Mall & Grant Street",6
"9218","5th Ave N & 4th Street N","Currie Park",6
"9219","5th Ave N & 4th Street N","Dupont Ave S & W 29th Street",6
"9220","5th Ave N & 4th Street N","Grant Street & Portland Ave",6
"9221","5th Ave N & 4th Street N","McNamara Center",6
"9222","5th Street NE & 1st Ave NE","Park Ave & 4th Street S",6
"9223","5th Street NE & 1st Ave NE","Portland Ave & Washington Ave",6
"9224","5th Street NE & 1st Ave NE","SE 3rd Ave & University Ave SE",6
"9225","5th Street NE & 3rd Ave NE","5th Ave N & 4th Street N",6
"9226","5th Street NE & 3rd Ave NE","7th Street & 4th Ave S",6
"9227","5th Street NE & 3rd Ave NE","Lake Street & Humboldt",6
"9228","5th Street NE & 3rd Ave NE","North Mississippi Regional Park",6
"9229","5th Street NE & 3rd Ave NE","Portland Ave & Washington Ave",6
"9230","5th Street NE & 3rd Ave NE","Washington Ave SE & Union Street SE",6
"9231","6th Ave SE & University Ave","26th Street & Hennepin",6
"9232","6th Ave SE & University Ave","Carleton Street & University Ave ",6
"9233","6th Ave SE & University Ave","NE Central Ave & NE 14th Ave",6
"9234","6th Ave SE & University Ave","Nice Ride World Headquarters",6
"9235","6th Ave SE & University Ave","Nicollet & Franklin",6
"9236","7th Place & Jackson Street","Minnesota History Center",6
"9237","7th Street & 4th Ave S","25th Street & 33rd Ave S",6
"9238","7th Street & 4th Ave S","Bohemian Flats",6
"9239","7th Street & 4th Ave S","Nicollet Island",6
"9240","7th Street E & Wacouta Street","5th Street E & Minnesota Street N",6
"9241","7th Street E & Wacouta Street","Dale Street & Grand Ave.",6
"9242","7th Street E & Wacouta Street","E 14th Street & N Robert Street ",6
"9243","7th Street E & Wacouta Street","Science Museum of Minnesota",6
"9244","7th Street SE & 10th Ave SE","2nd Ave N & Washington Ave N",6
"9245","7th Street SE & 10th Ave SE","Chicago & 27th Street",6
"9246","7th Street SE & 10th Ave SE","Hennepin Ave & S Washington Ave",6
"9247","7th Street SE & 10th Ave SE","Lake Street & Knox Ave S",6
"9248","7th Street SE & 10th Ave SE","N 4th Ave & W River Parkway",6
"9249","7th Street SE & 10th Ave SE","University Ave NE & 12th Ave NE",6
"9250","7th Street SE & 10th Ave SE","Washington Ave S & 10th Ave S",6
"9251","9th Street & 4th Ave","Chicago & 27th Street",6
"9252","9th Street & 4th Ave","Nicollet Island",6
"9253","9th Street & 4th Ave","SE 3rd Ave & University Ave SE",6
"9254","9th Street & 4th Ave","W 31st Street & Hennepin Ave S",6
"9255","9th Street N & Hawthorne Ave","2nd Street SE & 5th Ave SE",6
"9256","9th Street N & Hawthorne Ave","Currie Park",6
"9257","9th Street N & Hawthorne Ave","Glenwood Ave & N Morgan Ave",6
"9258","9th Street N & Hawthorne Ave","Logan Park",6
"9259","9th Street N & Hawthorne Ave","MCAD",6
"9260","9th Street N & Hawthorne Ave","Nicollet Ave & W 37th Street",6
"9261","Bohemian Flats","Broadway & Marshall Street NE",6
"9262","Bohemian Flats","East Lake Street & 36th Ave S",6
"9263","Bohemian Flats","Mpls Convention Center",6
"9264","Bohemian Flats","Park Ave & 4th Street S",6
"9265","Bohemian Flats","SE 3rd Ave & University Ave SE",6
"9266","Boom Island Park","Hennepin County Government Center",6
"9267","Boom Island Park","IDS Center",6
"9268","Boom Island Park","Loring Park",6
"9269","Boom Island Park","McNamara Center",6
"9270","Boom Island Park","S 8th Street & 2nd Ave S",6
"9271","Boom Island Park","SE 3rd Ave & University Ave SE",6
"9272","Broadway & Marshall Street NE","10th Street & Nicollet Mall",6
"9273","Broadway & Marshall Street NE","27th Ave SE & University Ave",6
"9274","Broadway & Marshall Street NE","Malcolm Ave SE & 5th Street SE",6
"9275","Broadway & Marshall Street NE","Mariucci Arena",6
"9276","Bryant Ave N & West Broadway","7th Street N & Plymouth Ave N",6
"9277","Bryant Ave N & West Broadway","Target Field Station",6
"9278","Carleton Street & University Ave ","25th Street & 33rd Ave S",6
"9279","Carleton Street & University Ave ","Hamline Ave N & University Ave",6
"9280","Carleton Street & University Ave ","Hiawatha Ave & E 50th Street",6
"9281","Carleton Street & University Ave ","Washington Ave SE & Union Street SE",6
"9282","Cedar Street & Columbus Ave","Dale Street & Grand Ave.",6
"9283","Cedar Street & Columbus Ave","N Milton Street & Summit Ave",6
"9284","Cedar Street & Columbus Ave","Union Depot",6
"9285","Central Ave NE & 22nd Ave NE","2nd Ave S & S 3rd Street",6
"9286","Central Ave NE & 22nd Ave NE","Marshall Street NE & 18th Ave NE",6
"9287","Chicago & 27th Street","11th Ave S & S 2nd Street",6
"9288","Chicago & 27th Street","26th Street & Lyndale",6
"9289","Chicago & 27th Street","7th Street & 4th Ave S",6
"9290","Chicago & 27th Street","Franklin & 11th Ave",6
"9291","Chicago & 27th Street","Franklin & 28th Ave",6
"9292","Chicago Ave & S Washington Ave","27th Ave S & Minnehaha Ave",6
"9293","Chicago Ave & S Washington Ave","Civil Engineering",6
"9294","Chicago Ave & S Washington Ave","Como Park Conservatory",6
"9295","Chicago Ave & S Washington Ave","Cooke Hall",6
"9296","Chicago Ave & S Washington Ave","Dupont Ave & 22nd Street",6
"9297","Chicago Ave & S Washington Ave","Groveland Ave & Clifton Place",6
"9298","Chicago Ave & S Washington Ave","Marshall Street NE & 8th Ave NE",6
"9299","Civil Engineering","Washington Ave S & 10th Ave S",6
"9300","Cleveland Ave S & Highland Parkway","Carleton Street & University Ave ",6
"9301","Cleveland Ave S & Highland Parkway","N Milton Street & Summit Ave",6
"9302","Cleveland Ave S & Highland Parkway","Selby Ave & Virginia Street",6
"9303","Coffman Union","E Franklin Ave & Bloomington Ave S",6
"9304","Coffman Union","Elliot Ave S & E 24th Street",6
"9305","Coffman Union","Lake Street & Knox Ave S",6
"9306","Coffman Union","Nicollet & Franklin",6
"9307","Coffman Union","Nicollet Island",6
"9308","Coffman Union","Sherburne Ave & Snelling Ave N",6
"9309","Coldwater Spring","Mississippi River Blvd & Summit Ave",6
"9310","Como Ave SE & 29th Ave SE","100 Main Street SE",6
"9311","Como Ave SE & 29th Ave SE","2nd Ave N & N 6th Street",6
"9312","Como Ave SE & 29th Ave SE","2nd Street SE & 5th Ave SE",6
"9313","Como Ave SE & 29th Ave SE","Carleton Street & University Ave ",6
"9314","Como Park Conservatory","15th Ave SE & Como Ave SE",6
"9315","Como Park Conservatory","Carleton Street & University Ave ",6
"9316","Como Park Conservatory","Grand Ave & Fairview Ave",6
"9317","Cooke Hall","Currie Park",6
"9318","Cooke Hall","Logan Park",6
"9319","Curfew Street & Ellis Ave.","6th Ave SE & University Ave",6
"9320","Curfew Street & Ellis Ave.","East Lake Street & 36th Ave S",6
"9321","Currie Park","15th Ave SE & Como Ave SE",6
"9322","Currie Park","Bohemian Flats",6
"9323","Currie Park","Chicago & 27th Street",6
"9324","Currie Park","Nicollet & Franklin",6
"9325","Currie Park","North 2nd Street & 4th Ave N",6
"9326","Currie Park","S 8th Street & 2nd Ave S",6
"9327","Currie Park","Walker Art Center",6
"9328","Currie Park","West 15th Street & Willow",6
"9329","Dale Street & Grand Ave.","Cedar Street & Columbus Ave",6
"9330","Dale Street & Grand Ave.","Schmidt Brewery",6
"9331","Dale Street & Grand Ave.","Wells Fargo Place",6
"9332","Dale Street N & University Ave","Sherburne Ave & Snelling Ave N",6
"9333","Dale Street N & University Ave","University Ave & Western Ave",6
"9334","Delaware Street SE & 26th Ave SE","Gateway Park",6
